"A"	"B"	"C"	"D"	"sex"	"age"	"edu"
"35"	"5"	"4"	"4"	"3"	"2"	"6"	"2"
"36"	"1"	"3"	"4"	"3"	"2"	"2"	"4"
"37"	"5"	"5"	"3"	"3"	"1"	"2"	"3"
"38"	"3"	"4"	"3"	"4"	"1"	"4"	"2"
"39"	"4"	"5"	"4"	"2"	"1"	"3"	"3"
"40"	"3"	"2"	"4"	"4"	"1"	"1"	"4"
"41"	"2"	"4"	"3"	"3"	"1"	"5"	"2"
"42"	"2"	"1"	"2"	"3"	"2"	"3"	"2"
"43"	"2"	"1"	"2"	"3"	"2"	"1"	"3"
"44"	"1"	"1"	"1"	"2"	"2"	"3"	"2"
"45"	"2"	"3"	"3"	"3"	"1"	"5"	"2"
"46"	"3"	"1"	"3"	"3"	"2"	"5"	"3"
"47"	"3"	"3"	"1"	"4"	"2"	"6"	"2"
"48"	"2"	"2"	"3"	"2"	"2"	"2"	"1"
"49"	"2"	"1"	"1"	"2"	"1"	"6"	"2"
"50"	"1"	"2"	"2"	"1"	"2"	"6"	"3"
"51"	"4"	"1"	"3"	"2"	"2"	"5"	"3"
"52"	"4"	"2"	"2"	"2"	"1"	"6"	"2"
"53"	"2"	"2"	"1"	"1"	"2"	"3"	"3"
"54"	"2"	"3"	"2"	"2"	"1"	"2"	"3"
"55"	"2"	"3"	"2"	"2"	"2"	"2"	"2"
"56"	"3"	"4"	"3"	"3"	"1"	"4"	"5"
"57"	"2"	"2"	"2"	"2"	"2"	"1"	"4"
"58"	"4"	"4"	"3"	"3"	"2"	"2"	"2"
"59"	"3"	"2"	"2"	"3"	"1"	"3"	"3"
"60"	"3"	"2"	"4"	"2"	"1"	"5"	"3"
"61"	"3"	"4"	"2"	"2"	"1"	"4"	"2"
"62"	"3"	"2"	"3"	"2"	"1"	"3"	"3"
"63"	"2"	"3"	"2"	"4"	"2"	"3"	"6"
"64"	"1"	"1"	"2"	"5"	"2"	"3"	"3"
"65"	"3"	"2"	"4"	"4"	"2"	"6"	"2"
"66"	"3"	"4"	"3"	"3"	"1"	"3"	"6"
"67"	"2"	"3"	"2"	"4"	"2"	"5"	"2"
"68"	"3"	"2"	"3"	"2"	"1"	"5"	"2"
"69"	"3"	"2"	"2"	"2"	"2"	"3"	"3"
"70"	"4"	"4"	"4"	"2"	"1"	"3"	"2"
"71"	"4"	"4"	"2"	"2"	"2"	"2"	"3"
"72"	"4"	"5"	"2"	"2"	"2"	"3"	"2"
"73"	"2"	"2"	"1"	"1"	"2"	"6"	"2"
"74"	"2"	"3"	"2"	"1"	"2"	"6"	"2"
"75"	"4"	"4"	"3"	"2"	"2"	"1"	"5"
"76"	"4"	"3"	"2"	"1"	"1"	"5"	"2"
"77"	"1"	"3"	"1"	"1"	"1"	"3"	"4"
"78"	"2"	"1"	"1"	"1"	"2"	"3"	"4"
"79"	"3"	"4"	"4"	"4"	"2"	"3"	"3"
"80"	"2"	"2"	"2"	"3"	"2"	"2"	"2"
"81"	"2"	"2"	"2"	"3"	"2"	"4"	"2"
"82"	"3"	"4"	"3"	"2"	"1"	"5"	"3"
"83"	"5"	"5"	"2"	"5"	"1"	"4"	"6"
"84"	"4"	"3"	"2"	"3"	"2"	"2"	"6"
"85"	"2"	"3"	"2"	"2"	"2"	"5"	"2"
"86"	"1"	"1"	"3"	"3"	"2"	"6"	"3"
"87"	"1"	"1"	"2"	"5"	"1"	"4"	"2"
"88"	"2"	"4"	"3"	"3"	"1"	"3"	"2"
"89"	"2"	"3"	"3"	"2"	"2"	"2"	"2"
"90"	"2"	"1"	"2"	"3"	"2"	"2"	"3"
"91"	"2"	"2"	"3"	"3"	"2"	"2"	"2"
"92"	"3"	"3"	"2"	"2"	"1"	"3"	"3"
"93"	"2"	"3"	"2"	"2"	"1"	"2"	"2"
"94"	"4"	"4"	"3"	"3"	"2"	"1"	"3"
"95"	"4"	"2"	"2"	"5"	"2"	"1"	"2"
"96"	"4"	"5"	"2"	"5"	"1"	"2"	"3"
"97"	"3"	"3"	"3"	"3"	"2"	"2"	"3"
"98"	"4"	"4"	"4"	"2"	"1"	"1"	"3"
"99"	"3"	"2"	"2"	"3"	"1"	"2"	"2"
"100"	"4"	"4"	"2"	"4"	"1"	"3"	"2"
"101"	"4"	"4"	"4"	"2"	"1"	"5"	"1"
"102"	"4"	"2"	"3"	"4"	"1"	"3"	"5"
"103"	"3"	"4"	"4"	"4"	"1"	"5"	"2"
"104"	"2"	"3"	"2"	"4"	"2"	"6"	"2"
"105"	"1"	"3"	"1"	"3"	"2"	"6"	"1"
"106"	"3"	"5"	"2"	"5"	"1"	"6"	"3"
"107"	"2"	"4"	"2"	"4"	"1"	"6"	"2"
"108"	"2"	"5"	"2"	"3"	"1"	"6"	"2"
"109"	"3"	"4"	"3"	"4"	"2"	"1"	"3"
"110"	"2"	"4"	"2"	"3"	"1"	"6"	"3"
"111"	"3"	"5"	"2"	"3"	"2"	"4"	"6"
"112"	"1"	"2"	"2"	"2"	"2"	"4"	"2"
"113"	"2"	"4"	"4"	"3"	"1"	"4"	"6"
"114"	"4"	"5"	"3"	"4"	"2"	"2"	"3"
"115"	"4"	"4"	"5"	"2"	"2"	"5"	"6"
"116"	"2"	"5"	"5"	"2"	"1"	"3"	"3"
"117"	"4"	"4"	"2"	"4"	"2"	"6"	"2"
"118"	"2"	"4"	"2"	"4"	"2"	"1"	"2"
"119"	"3"	"4"	"2"	"4"	"2"	"1"	"3"
"120"	"2"	"3"	"4"	"4"	"1"	"2"	"4"
"121"	"3"	"2"	"1"	"5"	"1"	"4"	"3"
"122"	"3"	"3"	"1"	"4"	"1"	"4"	"3"
"123"	"3"	"3"	"1"	"5"	"2"	"4"	"4"
"124"	"3"	"4"	"2"	"5"	"2"	"2"	"2"
"125"	"4"	"5"	"4"	"5"	"2"	"2"	"2"
"126"	"3"	"4"	"3"	"3"	"1"	"4"	"2"
"127"	"2"	"4"	"4"	"2"	"1"	"4"	"1"
"128"	"3"	"4"	"3"	"2"	"2"	"3"	"2"
"129"	"2"	"4"	"3"	"4"	"1"	"5"	"2"
"130"	"5"	"5"	"2"	"5"	"2"	"3"	"3"
"131"	"2"	"3"	"2"	"4"	"2"	"2"	"4"
"132"	"3"	"5"	"3"	"3"	"1"	"4"	"6"
"133"	"2"	"4"	"2"	"4"	"2"	"3"	"2"
"134"	"2"	"5"	"3"	"5"	"2"	"4"	"3"
"135"	"1"	"2"	"1"	"4"	"2"	"2"	"2"
"136"	"3"	"3"	"3"	"4"	"1"	"3"	"2"
"137"	"3"	"3"	"2"	"3"	"1"	"1"	"2"
"138"	"3"	"2"	"3"	"3"	"1"	"5"	"3"
"139"	"2"	"3"	"2"	"3"	"2"	"2"	"2"
"140"	"3"	"2"	"2"	"2"	"2"	"5"	"3"
"141"	"3"	"4"	"2"	"4"	"2"	"4"	"2"
"142"	"2"	"4"	"2"	"2"	"1"	"1"	"5"
"143"	"4"	"3"	"2"	"1"	"2"	"2"	"2"
"144"	"2"	"2"	"2"	"2"	"2"	"5"	"2"
"145"	"4"	"2"	"2"	"3"	"1"	"6"	"2"
"146"	"4"	"4"	"3"	"2"	"2"	"2"	"3"
"147"	"3"	"2"	"4"	"3"	"2"	"4"	"2"
"148"	"2"	"4"	"2"	"2"	"2"	"3"	"3"
"149"	"1"	"4"	"2"	"4"	"1"	"5"	"3"
"150"	"1"	"3"	"2"	"4"	"1"	"1"	"4"
"151"	"2"	"3"	"4"	"4"	"2"	"2"	"3"
"152"	"3"	"3"	"3"	"4"	"1"	"5"	"2"
"153"	"2"	"3"	"3"	"3"	"2"	"3"	"3"
"154"	"1"	"1"	"1"	"5"	"2"	"2"	"3"
"155"	"3"	"3"	"3"	"3"	"1"	"3"	"2"
"156"	"1"	"1"	"1"	"4"	"2"	"2"	"2"
"157"	"4"	"2"	"3"	"3"	"2"	"3"	"3"
"158"	"4"	"5"	"2"	"4"	"1"	"4"	"3"
"159"	"2"	"3"	"3"	"3"	"1"	"3"	"3"
"160"	"4"	"2"	"2"	"2"	"1"	"4"	"3"
"161"	"3"	"2"	"3"	"3"	"2"	"1"	"4"
"162"	"3"	"4"	"3"	"3"	"2"	"2"	"4"
"163"	"3"	"2"	"2"	"4"	"1"	"6"	"2"
"164"	"2"	"4"	"3"	"3"	"2"	"3"	"3"
"165"	"2"	"2"	"3"	"2"	"1"	"1"	"4"
"166"	"4"	"3"	"2"	"3"	"2"	"5"	"2"
"167"	"3"	"3"	"3"	"3"	"2"	"6"	"2"
"168"	"4"	"3"	"3"	"4"	"2"	"6"	"2"
"169"	"3"	"4"	"3"	"3"	"2"	"6"	"2"
"170"	"2"	"4"	"3"	"3"	"2"	"6"	"2"
"171"	"4"	"2"	"4"	"3"	"1"	"3"	"2"
"172"	"1"	"2"	"1"	"3"	"2"	"3"	"5"
"173"	"2"	"3"	"2"	"3"	"1"	"5"	"2"
"174"	"3"	"4"	"3"	"3"	"1"	"3"	"2"
"175"	"3"	"3"	"3"	"3"	"1"	"2"	"3"
"176"	"2"	"4"	"4"	"3"	"1"	"4"	"5"
"177"	"1"	"2"	"3"	"2"	"1"	"6"	"3"
"178"	"3"	"2"	"3"	"3"	"1"	"4"	"3"
"179"	"3"	"3"	"2"	"4"	"1"	"6"	"3"
"180"	"4"	"5"	"4"	"4"	"1"	"1"	"1"
"181"	"1"	"5"	"3"	"4"	"2"	"1"	"4"
"182"	"2"	"5"	"1"	"3"	"2"	"2"	"3"
"183"	"4"	"5"	"4"	"2"	"2"	"1"	"4"
"184"	"3"	"2"	"2"	"1"	"1"	"3"	"6"
"185"	"3"	"4"	"2"	"3"	"1"	"3"	"3"
"186"	"2"	"4"	"4"	"3"	"1"	"4"	"3"
"187"	"1"	"4"	"2"	"2"	"2"	"5"	"2"
"188"	"2"	"4"	"3"	"3"	"2"	"3"	"3"
"189"	"2"	"2"	"2"	"2"	"1"	"4"	"3"
"190"	"4"	"4"	"2"	"2"	"1"	"2"	"2"
"191"	"2"	"1"	"1"	"1"	"2"	"2"	"2"
"192"	"3"	"4"	"2"	"3"	"1"	"4"	"3"
"193"	"4"	"2"	"3"	"2"	"1"	"2"	"3"
"194"	"1"	"3"	"2"	"2"	"1"	"2"	"2"
"195"	"2"	"1"	"2"	"2"	"2"	"3"	"2"
"196"	"2"	"1"	"2"	"2"	"2"	"3"	"3"
"197"	"2"	"1"	"1"	"2"	"2"	"4"	"3"
"198"	"1"	"2"	"1"	"1"	"1"	"1"	"2"
"199"	"1"	"4"	"2"	"5"	"2"	"6"	"2"
"200"	"2"	"4"	"2"	"5"	"1"	"2"	"3"
"201"	"2"	"4"	"2"	"4"	"2"	"1"	"4"
"202"	"2"	"2"	"2"	"4"	"2"	"6"	"2"
"203"	"4"	"4"	"1"	"5"	"1"	"5"	"6"
"204"	"2"	"5"	"3"	"2"	"1"	"5"	"2"
"205"	"2"	"5"	"2"	"2"	"1"	"4"	"3"
"206"	"4"	"4"	"3"	"4"	"1"	"2"	"3"
"207"	"2"	"4"	"2"	"2"	"2"	"4"	"3"
"208"	"4"	"5"	"3"	"4"	"2"	"4"	"3"
"209"	"2"	"2"	"2"	"4"	"1"	"6"	"2"
"210"	"4"	"4"	"2"	"2"	"1"	"3"	"2"
"211"	"3"	"3"	"4"	"3"	"1"	"4"	"3"
"212"	"4"	"5"	"3"	"2"	"1"	"4"	"2"
"213"	"1"	"1"	"2"	"5"	"1"	"1"	"4"
"214"	"1"	"3"	"2"	"4"	"2"	"5"	"1"
"215"	"4"	"5"	"4"	"4"	"1"	"2"	"4"
"216"	"3"	"3"	"1"	"3"	"1"	"6"	"2"
"217"	"2"	"2"	"2"	"4"	"2"	"6"	"2"
"218"	"2"	"2"	"2"	"2"	"1"	"6"	"2"
"219"	"2"	"2"	"2"	"2"	"2"	"1"	"3"
"220"	"4"	"4"	"4"	"4"	"2"	"4"	"3"
"221"	"4"	"3"	"1"	"2"	"2"	"6"	"2"
"222"	"3"	"3"	"3"	"3"	"2"	"4"	"3"
"223"	"2"	"3"	"2"	"3"	"2"	"3"	"2"
"224"	"3"	"3"	"2"	"2"	"1"	"5"	"5"
"225"	"4"	"3"	"2"	"3"	"2"	"3"	"3"
"226"	"5"	"2"	"2"	"4"	"1"	"2"	"2"
"227"	"4"	"1"	"1"	"4"	"2"	"2"	"3"
"228"	"2"	"1"	"2"	"1"	"2"	"3"	"2"
"229"	"3"	"2"	"3"	"2"	"1"	"2"	"2"
"230"	"1"	"1"	"1"	"1"	"1"	"3"	"5"
"231"	"2"	"3"	"3"	"2"	"1"	"4"	"5"
"232"	"3"	"5"	"2"	"2"	"2"	"4"	"2"
"233"	"4"	"4"	"3"	"3"	"1"	"2"	"4"
"234"	"3"	"2"	"3"	"2"	"2"	"5"	"2"
"235"	"2"	"2"	"2"	"2"	"1"	"1"	"4"
"236"	"3"	"2"	"3"	"3"	"2"	"3"	"3"
"237"	"3"	"2"	"1"	"4"	"2"	"4"	"2"
"238"	"2"	"2"	"1"	"5"	"1"	"2"	"6"
"239"	"2"	"1"	"1"	"1"	"1"	"6"	"2"
"240"	"2"	"5"	"3"	"5"	"2"	"6"	"2"
"241"	"2"	"2"	"2"	"5"	"2"	"6"	"2"
"242"	"1"	"3"	"3"	"3"	"2"	"4"	"1"
"243"	"2"	"2"	"3"	"3"	"2"	"6"	"1"
"244"	"1"	"3"	"2"	"2"	"1"	"4"	"3"
"245"	"2"	"2"	"2"	"3"	"2"	"6"	"2"
"246"	"2"	"3"	"2"	"2"	"1"	"4"	"3"
"247"	"4"	"2"	"4"	"5"	"2"	"1"	"4"
"248"	"2"	"5"	"5"	"3"	"2"	"5"	"3"
"249"	"3"	"4"	"2"	"4"	"2"	"3"	"2"
"250"	"5"	"5"	"2"	"5"	"2"	"4"	"6"
"251"	"3"	"3"	"1"	"5"	"1"	"4"	"2"
"252"	"2"	"3"	"2"	"5"	"2"	"3"	"2"
"253"	"2"	"2"	"1"	"5"	"1"	"2"	"2"
"254"	"3"	"4"	"1"	"5"	"2"	"3"	"2"
"255"	"3"	"3"	"3"	"4"	"1"	"4"	"3"
"256"	"2"	"3"	"2"	"5"	"2"	"3"	"6"
"257"	"3"	"5"	"3"	"3"	"1"	"2"	"5"
"258"	"1"	"5"	"4"	"4"	"2"	"5"	"2"
"259"	"2"	"2"	"2"	"3"	"2"	"6"	"2"
"260"	"1"	"3"	"1"	"4"	"2"	"5"	"2"
"261"	"2"	"4"	"2"	"2"	"1"	"5"	"5"
"262"	"2"	"4"	"1"	"4"	"2"	"1"	"2"
"263"	"2"	"1"	"1"	"5"	"1"	"3"	"5"
"264"	"1"	"1"	"1"	"5"	"1"	"5"	"2"
"265"	"3"	"3"	"3"	"3"	"1"	"1"	"1"
"266"	"4"	"4"	"3"	"5"	"1"	"5"	"3"
"267"	"2"	"4"	"4"	"3"	"2"	"3"	"4"
"268"	"5"	"5"	"5"	"2"	"1"	"5"	"6"
"269"	"2"	"4"	"4"	"2"	"1"	"3"	"2"
"270"	"2"	"2"	"2"	"3"	"2"	"5"	"2"
"271"	"4"	"4"	"5"	"5"	"2"	"3"	"2"
"272"	"3"	"5"	"4"	"2"	"2"	"1"	"3"
"273"	"3"	"1"	"2"	"4"	"2"	"3"	"3"
"274"	"3"	"5"	"5"	"2"	"2"	"4"	"3"
"275"	"2"	"1"	"2"	"4"	"1"	"4"	"6"
"276"	"4"	"5"	"1"	"5"	"2"	"3"	"3"
"277"	"4"	"5"	"1"	"4"	"2"	"6"	"2"
"278"	"4"	"5"	"2"	"2"	"1"	"6"	"2"
"279"	"4"	"5"	"2"	"1"	"2"	"6"	"2"
"280"	"2"	"5"	"5"	"2"	"1"	"1"	"2"
"281"	"2"	"4"	"2"	"2"	"2"	"4"	"2"
"282"	"2"	"5"	"2"	"1"	"2"	"6"	"2"
"283"	"2"	"3"	"2"	"3"	"2"	"1"	"4"
"284"	"2"	"4"	"4"	"5"	"2"	"5"	"2"
"285"	"4"	"4"	"4"	"4"	"1"	"2"	"2"
"286"	"5"	"4"	"1"	"3"	"1"	"1"	"4"
"287"	"2"	"5"	"5"	"4"	"2"	"1"	"5"
"288"	"2"	"4"	"2"	"5"	"1"	"2"	"3"
"289"	"2"	"1"	"1"	"5"	"2"	"2"	"3"
"290"	"4"	"4"	"2"	"4"	"1"	"1"	"3"
"291"	"1"	"2"	"2"	"2"	"2"	"4"	"2"
"292"	"4"	"4"	"3"	"5"	"1"	"3"	"2"
"293"	"2"	"4"	"2"	"2"	"2"	"2"	"3"
"294"	"2"	"3"	"2"	"2"	"1"	"5"	"2"
"295"	"4"	"4"	"4"	"5"	"1"	"5"	"2"
"296"	"2"	"2"	"2"	"2"	"1"	"6"	"1"
"297"	"4"	"3"	"4"	"4"	"2"	"2"	"4"
"298"	"1"	"3"	"2"	"2"	"2"	"5"	"2"
"299"	"2"	"3"	"1"	"4"	"1"	"4"	"2"
"300"	"1"	"4"	"2"	"3"	"1"	"2"	"2"
"301"	"4"	"3"	"2"	"2"	"2"	"6"	"2"
"302"	"2"	"3"	"2"	"4"	"1"	"4"	"6"
"303"	"2"	"3"	"1"	"5"	"2"	"6"	"2"
"304"	"2"	"3"	"2"	"3"	"2"	"4"	"2"
"305"	"3"	"4"	"2"	"4"	"2"	"4"	"3"
"306"	"2"	"4"	"2"	"4"	"2"	"2"	"3"
"307"	"5"	"4"	"2"	"4"	"2"	"6"	"2"
"308"	"4"	"5"	"3"	"5"	"2"	"6"	"2"
"309"	"4"	"5"	"2"	"5"	"2"	"6"	"2"
"310"	"1"	"2"	"1"	"3"	"2"	"1"	"3"
"311"	"1"	"4"	"4"	"4"	"2"	"3"	"3"
"312"	"2"	"2"	"2"	"2"	"2"	"6"	"2"
"313"	"2"	"5"	"2"	"2"	"2"	"6"	"2"
"314"	"5"	"5"	"4"	"4"	"1"	"3"	"3"
"315"	"1"	"5"	"5"	"5"	"2"	"2"	"2"
"316"	"2"	"1"	"4"	"4"	"2"	"5"	"1"
"317"	"1"	"1"	"1"	"5"	"1"	"3"	"2"
"318"	"4"	"3"	"3"	"2"	"1"	"5"	"3"
"319"	"1"	"4"	"3"	"3"	"2"	"2"	"4"
"320"	"1"	"2"	"1"	"5"	"1"	"4"	"6"
"321"	"3"	"4"	"2"	"2"	"1"	"3"	"2"
"322"	"4"	"5"	"4"	"4"	"1"	"4"	"3"
"323"	"3"	"4"	"4"	"4"	"2"	"4"	"3"
"324"	"4"	"3"	"4"	"4"	"2"	"2"	"3"
"325"	"4"	"4"	"4"	"4"	"2"	"4"	"1"
"326"	"4"	"2"	"2"	"5"	"2"	"1"	"3"
"327"	"4"	"2"	"1"	"1"	"1"	"5"	"2"
"328"	"3"	"5"	"2"	"5"	"1"	"2"	"3"
"329"	"2"	"3"	"1"	"5"	"1"	"6"	"3"
"330"	"2"	"3"	"2"	"3"	"2"	"3"	"3"
"331"	"3"	"4"	"4"	"3"	"1"	"4"	"2"
"332"	"1"	"5"	"3"	"2"	"2"	"4"	"6"
"333"	"4"	"4"	"2"	"4"	"1"	"2"	"2"
"334"	"3"	"2"	"2"	"3"	"2"	"5"	"2"
"335"	"3"	"3"	"3"	"3"	"1"	"2"	"6"
"336"	"2"	"1"	"2"	"2"	"1"	"4"	"2"
"337"	"2"	"1"	"4"	"2"	"1"	"6"	"3"
"338"	"4"	"4"	"4"	"4"	"2"	"4"	"2"
"339"	"1"	"2"	"1"	"4"	"2"	"6"	"2"
"340"	"2"	"3"	"3"	"4"	"2"	"4"	"2"
"341"	"4"	"4"	"2"	"4"	"1"	"4"	"3"
"342"	"2"	"4"	"2"	"5"	"2"	"5"	"2"
"343"	"2"	"3"	"2"	"2"	"1"	"2"	"3"
"344"	"3"	"4"	"4"	"3"	"1"	"2"	"2"
"345"	"3"	"4"	"2"	"3"	"1"	"2"	"3"
"346"	"2"	"1"	"2"	"3"	"1"	"3"	"2"
"347"	"2"	"2"	"2"	"2"	"1"	"1"	"2"
"348"	"3"	"4"	"4"	"2"	"2"	"5"	"2"
"349"	"2"	"3"	"4"	"2"	"1"	"5"	"2"
"350"	"3"	"2"	"1"	"2"	"2"	"1"	"2"
"351"	"2"	"4"	"2"	"4"	"2"	"1"	"2"
"352"	"3"	"4"	"1"	"5"	"1"	"3"	"4"
"353"	"3"	"3"	"2"	"4"	"1"	"6"	"6"
"354"	"4"	"3"	"4"	"5"	"2"	"6"	"2"
"355"	"3"	"4"	"3"	"3"	"1"	"2"	"3"
"356"	"2"	"2"	"4"	"5"	"1"	"2"	"1"
"357"	"2"	"2"	"1"	"4"	"2"	"1"	"2"
"358"	"2"	"3"	"2"	"5"	"2"	"5"	"2"
"359"	"1"	"1"	"2"	"2"	"2"	"2"	"2"
"360"	"2"	"3"	"3"	"2"	"1"	"1"	"3"
"361"	"4"	"2"	"3"	"3"	"1"	"2"	"2"
"362"	"4"	"2"	"3"	"3"	"2"	"4"	"2"
"363"	"3"	"2"	"2"	"4"	"1"	"1"	"3"
"364"	"2"	"4"	"3"	"3"	"1"	"2"	"2"
"365"	"4"	"2"	"3"	"3"	"2"	"2"	"3"
"366"	"2"	"4"	"3"	"3"	"2"	"2"	"3"
"367"	"2"	"4"	"3"	"1"	"1"	"1"	"1"
"368"	"4"	"4"	"5"	"4"	"2"	"2"	"6"
"369"	"4"	"5"	"1"	"1"	"2"	"6"	"4"
"370"	"1"	"4"	"2"	"5"	"2"	"2"	"4"
"371"	"2"	"5"	"4"	"4"	"2"	"3"	"4"
"372"	"1"	"1"	"1"	"4"	"2"	"2"	"5"
"373"	"1"	"4"	"2"	"4"	"2"	"2"	"3"
"374"	"2"	"1"	"1"	"2"	"1"	"5"	"2"
"375"	"2"	"3"	"2"	"4"	"2"	"2"	"5"
"376"	"4"	"5"	"2"	"5"	"1"	"1"	"3"
"377"	"2"	"2"	"2"	"2"	"2"	"1"	"1"
"378"	"2"	"2"	"2"	"2"	"1"	"4"	"2"
"379"	"2"	"2"	"2"	"3"	"2"	"2"	"3"
"380"	"3"	"2"	"3"	"3"	"2"	"5"	"1"
"381"	"3"	"3"	"4"	"2"	"1"	"2"	"3"
"382"	"3"	"2"	"4"	"3"	"2"	"6"	"1"
"383"	"3"	"2"	"4"	"3"	"1"	"2"	"2"
"384"	"3"	"2"	"2"	"4"	"1"	"3"	"2"
"385"	"2"	"3"	"2"	"3"	"1"	"4"	"2"
"386"	"3"	"2"	"1"	"5"	"1"	"6"	"2"
"387"	"2"	"1"	"1"	"5"	"2"	"4"	"2"
"388"	"3"	"2"	"4"	"5"	"1"	"4"	"2"
"389"	"3"	"4"	"3"	"3"	"1"	"3"	"3"
"390"	"2"	"4"	"1"	"2"	"1"	"3"	"2"
"391"	"4"	"4"	"4"	"4"	"2"	"2"	"2"
"392"	"4"	"5"	"1"	"5"	"2"	"2"	"3"
"393"	"3"	"4"	"4"	"4"	"2"	"2"	"2"
"394"	"4"	"4"	"4"	"5"	"2"	"5"	"2"
"395"	"2"	"4"	"4"	"3"	"2"	"4"	"2"
"396"	"2"	"3"	"2"	"2"	"1"	"2"	"2"
"397"	"2"	"4"	"3"	"2"	"1"	"2"	"2"
"398"	"3"	"4"	"3"	"2"	"1"	"2"	"2"
"399"	"4"	"5"	"5"	"2"	"1"	"4"	"2"
"400"	"1"	"1"	"1"	"4"	"2"	"3"	"2"
"401"	"4"	"4"	"4"	"2"	"1"	"5"	"2"
"402"	"1"	"1"	"1"	"4"	"2"	"1"	"1"
"403"	"2"	"2"	"2"	"4"	"1"	"5"	"2"
"404"	"2"	"4"	"4"	"4"	"2"	"3"	"6"
"405"	"2"	"4"	"2"	"5"	"2"	"6"	"2"
"406"	"3"	"2"	"3"	"2"	"1"	"5"	"2"
"407"	"3"	"3"	"2"	"4"	"2"	"2"	"5"
"408"	"3"	"2"	"2"	"3"	"1"	"3"	"3"
"409"	"3"	"3"	"2"	"4"	"1"	"3"	"6"
"410"	"2"	"1"	"1"	"3"	"2"	"6"	"2"
"411"	"2"	"2"	"4"	"2"	"2"	"5"	"2"
"412"	"1"	"4"	"3"	"5"	"2"	"6"	"3"
"413"	"3"	"4"	"5"	"2"	"2"	"5"	"2"
"414"	"1"	"5"	"5"	"4"	"2"	"4"	"3"
"415"	"2"	"2"	"2"	"4"	"2"	"6"	"2"
"416"	"5"	"4"	"4"	"4"	"1"	"3"	"2"
"417"	"5"	"5"	"4"	"4"	"1"	"3"	"4"
"418"	"4"	"4"	"2"	"5"	"1"	"3"	"2"
"419"	"4"	"3"	"1"	"5"	"2"	"2"	"2"
"420"	"4"	"3"	"3"	"5"	"2"	"2"	"3"
"421"	"2"	"5"	"4"	"5"	"1"	"2"	"4"
"422"	"2"	"4"	"1"	"5"	"1"	"6"	"2"
"423"	"1"	"4"	"1"	"4"	"2"	"6"	"2"
"424"	"2"	"2"	"2"	"5"	"1"	"6"	"3"
"425"	"2"	"4"	"4"	"5"	"2"	"2"	"4"
"426"	"2"	"4"	"5"	"5"	"1"	"2"	"5"
"427"	"4"	"4"	"1"	"4"	"2"	"5"	"2"
"428"	"1"	"4"	"2"	"4"	"1"	"6"	"3"
"429"	"2"	"1"	"1"	"5"	"2"	"4"	"4"
"430"	"2"	"3"	"3"	"4"	"2"	"6"	"2"
"431"	"2"	"4"	"2"	"5"	"2"	"3"	"3"
"432"	"3"	"4"	"4"	"4"	"1"	"2"	"2"
"433"	"4"	"5"	"4"	"5"	"2"	"3"	"5"
"434"	"3"	"2"	"2"	"1"	"2"	"4"	"2"
"435"	"5"	"5"	"4"	"3"	"1"	"4"	"5"
